kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
若	3	6	458	8	763	544	ジャク, ニャク	ジャク, ニャク, ニャ	わか(い), も(しくわ)	わか･い, わか-, も･しくわ, も･し, も･しくは, ごと･し	young	young, if, perhaps, possibly, low number, immature
種	3	4	461	14	764	228	シュ	シュ	たね	たね, -ぐさ	kind, type, seed	species, kind, class, variety, seed
船	3	2	713	11	767	376	セン	セン	ふね, ふな	ふね, ふな-	ship, boat	ship, boat
術	3	5	350	11	770	187	ジュツ	ジュツ		すべ	art, technique, means	art, technique, skill, means, trick, resources, magic
処	3	6	547	5	774	1137	ショ	ショ		ところ, -こ, お･る	deal with, manage, condemn	dispose, manage, deal with, sentence, condemn, act, behave, place
成	3	4	116	6	778	261	セイ, ジョウ	セイ, ジョウ	な(る), な(す)	な･る, な･す, -な･す	become, grow, consist	turn into, become, get, grow, elapse, reach
絶	3	5	784	12	779	742	ゼツ	ゼツ	た(える), た(やす), た(つ)	た･える, た･やす, た･つ	cut off, cease	discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled
対	3	3	34	7	780	365	タイ, ツイ	タイ, ツイ		あいて, こた･える, そろ･い, つれあ･い, なら･ぶ, むか･う	against, pair	vis-a-vis, opposite, even, equal, versus, anti-, compare
能	3	5	273	10	781	386	ノウ	ノウ		よ･く, あた･う	ability, capacity	ability, talent, skill, capacity
速	3	3	576	10	782	502	ソク	ソク	はや(い), はや(める), すみ(やか)	はや･い, はや-, はや･める, すみ･やか	fast, quick	quick, fast
類	3	4	678	18	783	226	ルイ	ルイ		たぐ･い	kind, sort, variety	sort, kind, variety, class, genus
精	3	5	752	14	787	659	セイ, ショウ	セイ, ショウ		しら･げる, くわ･しい	spirit, soul, energy	refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill
投	3	3	236	7	788	1021	トウ	トウ	な(げる)	な･げる, -な･げ	throw, abandon	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss
席	3	4	370	10	790	379	セキ	セキ		むしろ	seat, place	seat, mat, occasion, place
性	3	5	104	8	798	98	セイ, ショウ	セイ, ショウ		さが	nature, sex	sex, gender, nature
政	3	5	17	9	805	483	セイ, ショウ	セイ, ショウ	まつりごと	まつりごと, まん	politics, government	politics, government
状	3	5	298	7	806	626	ジョウ	ジョウ			condition, letter	status quo, conditions, circumstances, form, appearance
常	3	5	293	11	807	497	ジョウ	ジョウ	つね, とこ	つね, とこ-	usual, normal, always	usual, ordinary, normal, common, regular, continually, always, long-lasting
情	3	5	235	11	808	209	ジョウ, セイ	ジョウ, セイ	なさ(け)	なさ･け	emotion, circumstances	feelings, emotion, passion, sympathy, circumstances, facts
続	3	4	141	13	811	243	ゾク	ゾク, ショク, コウ, キョウ	つづ(く), つづ(ける)	つづ･く, つづ･ける, つぐ･ない	continue	continue, series, sequel
敗	3	4	516	11	812	511	ハイ	ハイ	やぶ(れる)	やぶ･れる	lose, defeated	failure, defeat, reversal
信	3	4	208	9	814	157	シン	シン			believe, trust, faith	faith, truth, fidelity, trust
費	3	5	321	12	815	749	ヒ	ヒ	つい(やす), つい(える)	つい･やす, つい･える	spend, waste	expense, cost, spend, consume, waste
段	3	6	479	9	819	362	ダン	ダン, タン			step, rank	grade, steps, stairs
列	3	3	927	6	820	611	レツ	レツ, レ			line, row	file, row, rank, tier, column
退	3	6	424	9	823	846	タイ	タイ	しりぞ(く), しりぞ(ける)	しりぞ･く, しりぞ･ける, ひ･く, の･く, の･ける, ど･く	retreat	retreat, withdraw, retire, resign, repel, expel, reject
身	3	3	320	7	824	59	シン	シン	み	み	body, self	somebody, person, one's station in life
深	3	3	484	11	825	536	シン	シン	ふか(い), ふか(める), ふか(まる)	ふか･い, -ぶか･い, ふか･まる, ふか･める, み-	deep	deep, heighten, intensify, strengthen
吹	3	8	1133	7	831	1255	スイ	スイ	ふ(く)	ふ･く	blow	blow, breathe, puff, emit, smoke
優	3	6	334	17	832	1033	ユウ	ユウ, ウ	すぐ(れる), やさ(しい)	やさ･しい, すぐ･れる, まさ･る	kind, gentle, excel	tenderness, excel, surpass, actor, superiority, gentleness
背	3	6	696	9	834	1265	ハイ	ハイ	せ, せい, そむ(く), そむ(ける)	せ, せい, そむ･く, そむ･ける	back, height	stature, height, back, behind, disobey, defy, go back on, rebel
制	3	5	108	8	835	427	セイ	セイ			system, control	system, law, rule
積	3	4	541	16	838	656	セキ	セキ	つ(む), つ(もる), つ(もり)	つ･む, -づ･み, つ･もる, つ･もり	pile, heap, accumulate	volume, product (x*y), acreage, contents, pile up, stack, load, amass
責	3	5	598	11	839	655	セキ	セキ	せ(める)	せ･める	duty, blame, torture	blame, condemn, censure
祖	3	5	1226	9	845	622	ソ	ソ			ancestor	ancestor, pioneer, founder
想	3	3	381	13	846	147	ソウ, ソ	ソウ, ソ		おも･う	idea, thought	concept, think, idea, thought
窓	3	6	1186	11	848	698	ソウ	ソウ, ス	まど	まど, てんまど, けむだし	window	window, pane
束	3	4	918	7	857	501	ソク	ソク	たば	たば, たば･ねる, つか, つか･ねる	bundle, sheaf	bundle, sheaf, ream, tie in bundles, govern, manage, control
備	3	5	356	12	863	768	ビ	ビ	そな(える), そな(わる)	そな･える, そな･わる, つぶさ･に	provide, possess	equip, provision, preparation
反	3	3	191	4	864	324	ハン, ホン, タン	ハン, ホン, タン, ホ	そ(る), そ(らす)	そ･る, そ･らす, かえ･す, かえ･る, -かえ･る	anti-, against	anti-
存	3	6	577	6	866	269	ソン, ゾン	ソン, ゾン		ながら･える, あ･る, たも･つ, と･う	exist, know	exist, suppose, be aware of, believe, feel
平	3	3	128	5	868	202	ヘイ, ビョウ	ヘイ, ビョウ, ヒョウ	たい(ら), ひら	たい･ら, たい･らげる, ひら	flat, level	even, flat, peace
倒	3	8	791	10	869	905	トウ	トウ	たお(れる), たお(す)	たお･れる, -だお･れ, たお･す, さかさま, さかさ, さかしま	fall, collapse, topple	overthrow, fall, collapse, drop, break down
宅	3	6	357	6	871	178	タク	タク			home, residence	home, house, residence, our house, my husband
例	3	4	399	8	874	612	レイ	レイ	たと(える)	たと･える	example, custom	example, custom, usage, precedent
単	3	4	586	9	876	300	タン	タン		ひとえ	single, simple	simple, one, single, merely
恥	3	8	1575	10	878	1690	チ	チ	はじ, は(じる), は(じらう), は(ずかしい)	は･じる, はじ, は･じらう, は･ずかしい	shame, disgrace, shy	shame, dishonor
捕	3	8	604	10	887	890	ホ	ホ	と(る), と(らえる), と(らわれる), つか(まる), つか(まえる)	と･らえる, と･らわれる, と･る, とら･える, とら･われる, つか･まえる, つか･まる	catch, arrest	catch, capture
疲	3	8	1263	10	888	1321	ヒ	ヒ	つか(れる), つか(らす)	つか･れる, -づか･れ, つか･らす	tire, fatigue	exhausted, tire, weary
突	3	8	521	8	889	898	トツ	トツ, カ	つ(く)	つ･く	thrust, poke	stab, protruding, thrust, pierce, prick, collision, sudden
努	3	4	749	7	890	1595	ド	ド	つと(める)	つと･める	exert, strive	toil, diligent, as much as possible
務	3	5	111	11	891	235	ム	ム	つと(める)	つと･める	duties	task, duties
庭	3	3	816	10	894	1112	テイ	テイ	にわ	にわ	garden	courtyard, garden, yard
程	3	5	514	12	896	417	テイ	テイ	ほど	ほど, -ほど	degree, extent	extent, degree, law, formula, distance, limits, amount
適	3	5	670	14	898	415	テキ	テキ		かな･う	fit, suitable	suitable, occasional, rare, qualified, capable
登	3	3	566	12	900	960	トウ, ト	トウ, ト, ドウ, ショウ, チョウ	のぼ(る)	のぼ･る, あ･がる	climb	ascend, climb up
徒	3	4	817	10	901	430	ト	ト		いたずら, あだ	party, vain, useless	on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people
途	3	8	717	10	902	1072	ト	ト		みち	way, road	route, way, road
等	3	3	798	12	904	569	トウ	トウ	ひと(しい)	ひと･しい, など, -ら	equal, class	etc., and so forth, class (first), quality, equal, similar
到	3	8	1032	8	907	904	トウ	トウ		いた･る	arrive, reach	arrival, proceed, reach, attain, result in
逃	3	8	931	9	908	1566	トウ	トウ	に(げる), に(がす), のが(す), のが(れる)	に･げる, に･がす, のが･す, のが･れる	escape, flee	escape, flee, shirk, evade, set free
盗	3	8	1051	11	909	1100	トウ	トウ	ぬす(む)	ぬす･む, ぬす･み	steal	steal, rob, pilfer
富	3	4	644	12	919	713	フ, フウ	フ, フウ	とみ, と(む)	と･む, とみ	rich, wealth	wealth, enrich, abundant
亡	3	6	661	3	922	672	ボウ, モウ	ボウ, モウ	な(い)	な･い, な･き-, ほろ･びる, ほろ･ぶ, ほろ･ぼす	die, dead	deceased, the late, dying, perish
鳴	3	2	1279	14	923	925	メイ	メイ	な(く), な(る), な(らす)	な･く, な･る, な･らす	(animal) sound, ring	chirp, cry, bark, sound, ring, echo, honk
任	3	5	217	6	929	334	ニン	ニン	まか(す), まか(せる)	まか･せる, まか･す	office, entrust	responsibility, duty, term, entrust to, appoint
認	3	6	198	14	930	738	ニン	ニン	みと(める)	みと･める, したた･める	recognize, approve	acknowledge, witness, discern, recognize, appreciate, believe
抜	3	8	726	7	931	1713	バツ	バツ, ハツ, ハイ	ぬ(く), ぬ(ける), ぬ(かる), ぬ(かす)	ぬ･く, -ぬ･く, ぬ･き, ぬ･ける, ぬ･かす, ぬ･かる	pull out, omit, surpass	slip out, extract, pull out, pilfer, quote, remove, omit
眠	3	8	1315	10	933	849	ミン	ミン	ねむ(い), ねむ(る)	ねむ･る, ねむ･い	sleep, sleepy	sleep, die, sleepy
念	3	4	390	8	934	579	ネン	ネン			thought, desire, attention	wish, sense, idea, thought, feeling, desire, attention
望	3	4	470	11	937	673	ボウ, モウ	ボウ, モウ	のぞ(む)	のぞ･む, もち	hope, desire, expect	ambition, full moon, hope, desire, aspire to, expect
