kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
山	5	1	131	3	61	34	サン	サン, セン	やま	やま	mountain	mountain
川	5	1	181	3	62	33	セン	セン	かわ	かわ	river	stream, river, river or three-stroke river radical (no. 47)
白	5	1	483	5	63	205	ハク, ビャク	ハク, ビャク	しろ(い)	しろ, しら-, しろ･い	white	white
天	5	1	512	4	64	141	テン	テン	あま, あめ	あまつ, あめ, あま-	heaven, sky	heavens, sky, imperial
雨	5	1	950	8	65	30	ウ	ウ	あめ, あま	あめ, あま-, -さめ	rain	rain
電	5	2	268	13	66	108	デン	デン			electricity	electricity
気	5	1	113	6	67	134	キ, ケ	キ, ケ		き	spirit, mind, energy, power	spirit, mind, air, atmosphere, mood
車	5	1	333	7	68	133	シャ	シャ	くるま	くるま	car, vehicle	car
国	5	2	3	8	69	40	コク	コク	くに	くに	country	country
円	5	1	69	4	70	13	エン	エン	まる(い)	まる･い, まる, まど, まど･か, まろ･やか	round, yen	circle, yen, round
話	5	2	134	13	71	238	ワ	ワ	はな(し), はな(す)	はな･す, はなし	talk, topic, story	tale, talk
聞	5	2	319	14	72	64	ブン, モン	ブン, モン	き(く), き(こえる)	き･く, き･こえる	hear, listen, ask	hear, ask, listen
食	5	2	328	9	73	322	ショク, ジキ	ショク, ジキ	た(べる), く(う), く(らう)	く･う, く･らう, た･べる, は･む	eat, food	eat, food
読	5	2	618	14	74	244	トク, ドク	ドク, トク, トウ	よ(む)	よ･む, -よ･み	read	read
来	5	2	102	7	75	69	ライ	ライ, タイ	く(る), きた(る), きた(す)	く･る, きた･る, きた･す, き･たす, き･たる, き, こ	come	come, due, next, cause, become
書	5	2	169	10	76	131	ショ	ショ	か(く)	か･く, -が･き, -がき	write, book	write
見	5	1	22	7	77	63	ケン	ケン	み(る), み(える), み(せる)	み･る, み･える, み･せる	see, show	see, hopes, chances, idea, opinion, look at, visible
行	5	2	20	6	78	68	コウ, ギョウ	コウ, ギョウ, アン	い(く), ゆ(く)	い･く, ゆ･く, -ゆ･き, -ゆき, -い･き, -いき, おこな･う, おこ･なう	go	going, journey, carry out, conduct, act, line, row, bank
出	5	1	13	5	79	53	シュツ, スイ	シュツ, スイ	だ(す), で(る)	で･る, -で, だ･す, -だ･す, い･でる, い･だす	exit, leave, put out	exit, leave, go out, come out, put out, protrude
入	5	1	56	2	80	52	ニュウ	ニュウ, ジュ	い(る), い(れる), はい(る)	い･る, -い･る, -い･り, い･れる, -い･れ, はい･る	enter, put in	enter, insert
会	4	2	4	6	81	158	カイ, エ	カイ, エ	あ(う)	あ･う, あ･わせる, あつ･まる	meet	meeting, meet, party, association, interview, join
青	4	1	589	8	82	208	セイ, ショウ	セイ, ショウ	あお(い)	あお, あお-, あお･い	blue	blue, green
赤	4	1	584	7	83	207	セキ	セキ, シャク	あか(い)	あか, あか-, あか･い, あか･らむ, あか･らめる	red	red
明	4	2	67	8	84	18	メイ, ミョウ	メイ, ミョウ, ミン	あか(るい), あ(ける)	あ･かり, あか･るい, あか･るむ, あか･らむ, あき･らか, あ･ける, -あ･け, あ･く, あ･くる, あ･かす	light, bright, clear	bright, light
秋	4	2	635	9	85	462	シュウ	シュウ	あき	あき, とき	autumn, fall	autumn
空	4	1	304	8	86	140	クウ	クウ	そら, から, あ(く), あ(ける)	そら, あ･く, あ･き, あ･ける, から, す･く, す･かす, むな･しい	sky, air, empty	empty, sky, void, vacant, vacuum
開	4	3	59	12	87	396	カイ	カイ	あ(く), あ(ける), ひら(く)	ひら･く, ひら･き, -びら･き, ひら･ける, あ･く, あ･ける	open	open, unfold, unseal
悪	4	3	530	11	88	304	アク	アク, オ	わる(い)	わる･い, わる-, あ･し, にく･い, -にく･い, ああ, いずくに, いずくんぞ, にく･む	bad, evil	bad, vice, rascal, false, evil, wrong
朝	4	2	248	12	89	469	チョウ	チョウ	あさ	あさ	morning	morning, dynasty, regime, epoch, period, (North) Korea
字	4	1	485	6	90	110	ジ	ジ	あざ	あざ, あざな, -な	letter, character, mark	character, letter, word, section of village
足	4	1	343	7	91	58	ソク	ソク	あし, た(る), た(す), た(りる)	あし, た･りる, た･る, た･す	foot, leg, suffice	leg, foot, be sufficient, counter for pairs of footwear
味	4	3	442	8	92	307	ミ	ミ	あじ(わう)	あじ, あじ･わう	taste	flavor, taste
新	4	2	51	13	93	174	シン	シン	あら(た), あたら(しい), に(い)	あたら･しい, あら･た, あら-, にい-	new, fresh	new
集	4	3	210	12	94	436	シュウ	シュウ	あつ(まる), あつ(める)	あつ･まる, あつ･める, つど･う	collect, gather	gather, meet, congregate, swarm, flock
兄	4	2	1219	5	95	406	ケイ, キョウ	ケイ, キョウ	あに	あに	older brother	elder brother, big brother
歩	4	2	554	8	96	431	ホ, ブ	ホ, ブ, フ	ある(く), あゆ(む)	ある･く, あゆ･む	walk, step	walk, counter for steps
姉	4	2	1473	8	97	407	シ	シ	あね	あね, はは	older sister	elder sister
有	4	3	282	6	98	265	ユウ, ウ	ユウ, ウ	あ(る)	あ･る	have, exist	possess, have, exist, happen, occur, approx
安	4	3	144	6	99	105	アン	アン	やす(い)	やす･い, やす･まる, やす, やす･らか	peaceful, cheap	relax, cheap, low, quiet, rested, contented, peaceful
医	4	3	437	7	100	220	イ	イ		い･やす, い･する, くすし	medicine, doctor	doctor, medicine
意	4	3	99	13	101	132	イ	イ			mind, heart, attention	idea, mind, heart, taste, thought, desire, care, liking
以	4	4	126	5	102	46	イ	イ		もっ･て	with, from, by means of, compared with	by means of, because, in view of, compared with
言	4	2	83	7	103	66	ゲン, ゴン	ゲン, ゴン	い(う), こと	い･う, こと	word, say, speech	say, word
急	4	3	309	9	104	303	キュウ	キュウ	いそ(ぐ)	いそ･ぐ, いそ･ぎ, せ･く	hurry	hurry, emergency, sudden, steep
家	4	2	133	10	105	165	カ, ケ	カ, ケ	いえ, や	いえ, や, うち	house, family	house, home, family, professional, expert, performer
犬	4	1	1326	4	106	280	ケン	ケン	いぬ	いぬ, いぬ-	dog	dog
妹	4	2	1446	8	107	408	マイ	マイ	いもうと	いもうと	younger sister	younger sister
色	4	2	621	6	108	204	ショク, シキ	ショク, シキ	いろ	いろ	color	color
音	4	1	491	9	109	347	オン, イン	オン, イン, -ノン	おと, ね	おと, ね	sound	sound, noise
員	4	3	54	10	110	163	イン	イン			member, official	employee, member, number, the one in charge
院	4	3	150	10	111	614	イン	イン			institution	Inst., institution, temple, mansion, school
飲	4	3	969	12	112	323	イン	イン, オン	の(む)	の･む, -の･み	drink	drink, smoke, take
魚	4	2	1208	11	113	290	ギョ	ギョ	うお, さかな	うお, さかな, -ざかな	fish	fish
動	4	3	73	11	114	231	ドウ	ドウ	うご(く), うご(かす)	うご･く, うご･かす	move	move, motion, change, confusion, shift, shake
牛	4	2	1202	4	115	281	ギュウ	ギュウ	うし	うし	cattle	cow
歌	4	2	519	14	116	392	カ	カ	うた, うた(う)	うた, うた･う	song, sing	song, sing
写	4	3	453	5	117	540	シャ	シャ, ジャ	うつ(す), うつ(る)	うつ･す, うつ･る, うつ-, うつ･し	copy	copy, be photographed, describe
映	4	6	404	9	118	352	エイ	エイ	うつ(る), うつ(す), は(える)	うつ･る, うつ･す, は･える, -ば･え	reflect, project	reflect, reflection, projection
海	4	2	200	9	119	117	カイ	カイ	うみ	うみ	sea, ocean	sea, ocean
売	4	2	202	7	120	239	バイ	バイ	う(る)	う･る, う･れる	sell	sell
運	4	3	255	12	121	439	ウン	ウン	はこ(ぶ)	はこ･ぶ	carry, luck	carry, luck, destiny, fate, lot, transport, progress, advance
重	4	3	193	9	122	227	ジュウ, チョウ	ジュウ, チョウ	え, おも(い), かさ(なる), かさ(ねる)	え, おも･い, おも･り, おも･なう, かさ･ねる, かさ･なる, おも	heavy	heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold
英	4	4	430	8	123	353	エイ	エイ		はなぶさ	England, grand	England, English, hero, outstanding, calyx
駅	4	3	724	14	124	284	エキ	エキ			station	station
終	4	3	256	11	125	458	シュウ	シュウ	お(わる), お(える)	お･わる, -お･わる, おわ･る, お･える, つい, つい･に	finish	end, finish
多	4	2	139	6	126	229	タ	タ	おお(い)	おお･い, まさ･に, まさ･る	many, frequent, much	many, frequent, much
起	4	3	374	10	127	373	キ	キ	お(きる), お(こる), お(こす)	お･きる, お･こる, お･こす, おこ･す, た･つ	get up, rise	rouse, wake up, get up
屋	4	3	616	9	128	167	オク	オク	や	や	roof, house, shop	roof, house, shop, dealer, seller
送	4	3	311	9	129	441	ソウ	ソウ	おく(る)	おく･る	send	escort, send
教	4	2	166	11	130	245	キョウ	キョウ	おし(える), おそ(わる)	おし･える, おそ･わる	teach, faith	teach, faith, doctrine
弟	4	2	1161	7	131	405	テイ, ダイ	テイ, ダイ, デ	おとうと	おとうと	younger brother	younger brother, faithful service to elders
同	4	2	15	6	132	198	ドウ	ドウ	おな(じ)	おな･じ	same	same, agree, equal
主	4	3	95	5	133	155	シュ	シュ, ス, シュウ	おも, ぬし	ぬし, おも, あるじ	main, master	lord, chief, master, main thing, principal
思	4	2	132	9	134	99	シ	シ	おも(う)	おも･う, おもえら･く, おぼ･す	think	think
親	4	2	406	16	135	175	シン	シン	おや, した(しい)	おや, おや-, した･しい, した･しむ	parent, familiar	parent, intimacy, relative, familiarity, dealer (cards)
花	4	1	578	7	136	255	カ	カ, ケ	はな	はな	flower	flower
夏	4	2	659	10	137	461	カ	カ, ガ, ゲ	なつ	なつ	summer	summer
画	4	2	199	8	138	343	ガ, カク	ガ, カク, エ, カイ		えが･く, かく･する, かぎ･る, はかりごと, はか･る	picture, drawing	brush-stroke, picture
界	4	3	158	9	139	454	カイ	カイ			world	world, boundary
買	4	2	520	12	140	241	バイ	バイ	か(う)	か･う	buy	buy
帰	4	2	504	10	141	317	キ	キ	かえ(る), かえ(す)	かえ･る, かえ･す, おく･る, とつ･ぐ	return	homecoming, arrive at, lead to, result in
代	4	3	66	5	142	256	ダイ, タイ	ダイ, タイ	か(える), か(わる), しろ, よ	か･わる, かわ･る, かわ･り, か･わり, -がわ･り, -が･わり, か･える, よ, しろ	substitute, period, fee	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee
楽	4	2	373	13	143	358	ガク, ラク	ガク, ラク, ゴウ	たの(しい), たの(しむ)	たの･しい, たの･しむ, この･む	pleasure, music	music, comfort, ease
風	4	2	558	9	144	29	フウ, フ	フウ, フ	かぜ	かぜ, かざ-	wind, style	wind, air, style, manner
貸	4	5	995	12	145	748	タイ	タイ	か(す)	か･す, か･し-, かし-	lend	lend
方	4	2	46	4	146	70	ホウ	ホウ	かた	かた, -かた, -がた	person, way, direction	direction, person, alternative
紙	4	2	559	10	147	180	シ	シ	かみ	かみ	paper	paper
通	4	2	80	10	148	150	ツウ	ツウ, ツ	とお(る), とお(す), かよ(う)	とお･る, とお･り, -とお･り, -どお･り, とお･す, とお･し, -どお･し, かよ･う	pass, communicate	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.
体	4	2	88	7	149	61	タイ, テイ	タイ, テイ	からだ	からだ, かたち	body, form	body, substance, object, reality, counter for images
借	4	4	932	10	150	766	シャク	シャク	か(りる)	か･りる	borrow, rent	borrow, rent
漢	4	3	1487	13	151	556	カン	カン			Chinese	Sino-, China
館	4	3	613	16	152	327	カン	カン	やかた	やかた, たて	building, palace	building, mansion, large building, palace
元	4	2	192	4	153	137	ゲン, ガン	ゲン, ガン	もと	もと	beginning, origin	beginning, former time, origin
考	4	2	196	6	154	541	コウ	コウ	かんが(える)	かんが･える, かんが･え	think, consider	consider, think over
着	4	3	376	12	155	657	チャク	チャク, ジャク	き(る), き(せる), つ(く), つ(ける)	き･る, き･せる, つ･く, つ･ける	wear, arrive	don, arrive, wear, counter for suits of clothing
究	4	3	368	7	156	895	キュウ	キュウ, ク	きわ(める)	きわ･める	study, research	research, study
去	4	3	440	5	157	414	キョ, コ	キョ, コ	さ(る)	さ･る, -さ･る	leave, gone, past	gone, past, quit, leave, elapse, eliminate, divorce
京	4	2	74	8	158	189	キョウ, ケイ	キョウ, ケイ, キン		みやこ	capital	capital, 10**16
強	4	2	112	11	159	217	キョウ, ゴウ	キョウ, ゴウ	つよ(い), つよ(まる), つよ(める), し(いる)	つよ･い, つよ･まる, つよ･める, し･いる, こわ･い	strong	strong
業	4	3	43	13	160	279	ギョウ, ゴウ	ギョウ, ゴウ	わざ	わざ	work, business, industry	business, vocation, arts, performance
切	4	2	324	4	161	39	セツ	セツ, サイ	き(る), き(れる)	き･る, -き･る, き･り, -き･り, -ぎ･り, き･れる, -き･れる, き･れ, -き･れ, -ぎ･れ	cut	cut, cutoff, be sharp
近	4	2	194	7	162	445	キン	キン, コン	ちか(い)	ちか･い	near, recent	near, early, akin, tantamount
銀	4	3	395	14	163	313	ギン	ギン	しろがね	しろがね	silver	silver
口	4	1	284	3	164	54	コウ, ク	コウ, ク	くち	くち	mouth	mouth
工	4	2	299	3	165	139	コウ, ク	コウ, ク, グ			construction, craft	craft, construction, katakana e radical (no. 48)
黒	4	2	573	11	166	206	コク	コク	くろ(い)	くろ, くろ･ずむ, くろ･い	black	black
計	4	2	228	9	167	340	ケイ	ケイ	はか(る), はか(らう)	はか･る, はか･らう	plan, measure	plot, plan, scheme, measure
研	4	3	336	9	168	896	ケン	ケン	と(ぐ)	と･ぐ	polish, sharpen, study	polish, study of, sharpen
建	4	4	300	9	169	892	ケン	ケン, コン	た(つ), た(てる)	た･てる, た･て, -だ･て, た･つ	build	build
験	4	4	410	18	170	532	ケン	ケン, ゲン		あかし, しるし, ため･す, ためし	test	verification, effect, testing
古	4	2	509	5	171	172	コ	コ	ふる(い), ふる(す)	ふる･い, ふる-, -ふる･す	old, ancient	old
広	4	2	263	5	172	694	コウ	コウ	ひろ(い), ひろ(まる), ひろ(める), ひろ(がる), ひろ(げる)	ひろ･い, ひろ･まる, ひろ･める, ひろ･がる, ひろ･げる	wide, broad	wide, broad, spacious
心	4	2	157	4	173	97	シン	シン	こころ	こころ, -ごころ	heart, mind	heart, mind, spirit, heart radical (no. 61)
試	4	4	392	13	174	526	シ	シ	ため(す), こころ(みる)	こころ･みる, ため･す	try, test	test, try, attempt, experiment, ordeal
答	4	2	486	12	175	160	トウ	トウ	こた(え), こた(える)	こた･える, こた･え	answer, solution	solution, answer
事	4	3	18	8	176	80	ジ	ジ, ズ	こと	こと, つか･う, つか･える	thing, matter, affair	matter, thing, fact, business, reason, possibly
転	4	3	327	11	177	433	テン	テン	ころ(がる), ころ(げる), ころ(がす), ころ(ぶ)	ころ･がる, ころ･げる, ころ･がす, ころ･ぶ, まろ･ぶ, うたた, うつ･る, くる･めく	revolve, turn	revolve, turn around, change
作	4	2	103	7	178	360	サク, サ	サク, サ	つく(る)	つく･る, つく･り, -づく･り	make, prepare, build	make, production, prepare, build
茶	4	2	1116	9	179	251	チャ, サ	チャ, サ			tea	tea
早	4	1	402	6	180	248	ソウ	ソウ, サッ	はや(い), はや(まる), はや(める)	はや･い, はや, はや-, はや･まる, はや･める, さ-	early, fast	early, fast
止	4	2	310	4	181	477	シ	シ	と(まる), と(める), とど(める), とど(まる), や(める), や(む), よ(す)	と･まる, -ど･まり, と･める, -と･める, -ど･め, とど･める, とど･め, とど･まる, や･める, や･む, -や･む, よ･す, -さ･す, -さ･し	stop	stop, halt
自	4	2	19	6	182	62	ジ, シ	ジ, シ	みずか(ら)	みずか･ら, おの･ずから, おの･ずと	self	oneself
仕	4	3	439	5	183	333	シ	シ, ジ	つか(える)	つか･える	serve, attend	attend, doing, official, serve
死	4	3	229	6	184	85	シ	シ	し(ぬ)	し･ぬ, し･に-	die, death	death, die
始	4	3	244	8	185	494	シ	シ	はじ(まる), はじ(める)	はじ･める, -はじ･める, はじ･まる	begin	commence, begin
使	4	3	219	8	186	331	シ	シ	つか(う)	つか･う, つか･い, -つか･い, -づか･い	use	use, send on a mission, order, messenger, envoy, ambassador, cause
私	4	6	242	7	187	125	シ	シ	わたし, わたくし	わたくし, わたし	private, I	private, I, me
地	4	2	40	6	188	118	チ, ジ	チ, ジ			ground, land, earth	ground, earth
持	4	3	119	9	189	451	ジ	ジ	も(つ)	も･つ, -も･ち, も･てる	have, hold	hold, have
質	4	5	389	15	190	176	シツ, シチ	シツ, シチ, チ		たち, ただ･す, もと, わりふ	quality, nature	substance, quality, matter, temperament
室	4	2	550	9	191	166	シツ	シツ	むろ	むろ	room	room, apartment, chamber, greenhouse, cellar
品	4	3	225	9	192	230	ヒン	ヒン, ホン	しな	しな	article, goods, quality	goods, refinement, dignity, article, counter for meal courses
社	4	2	21	7	193	308	シャ	シャ	やしろ	やしろ	company, shrine	company, firm, office, association, shrine
者	4	3	38	8	194	164	シャ	シャ	もの	もの	person	someone, person
手	4	1	60	4	195	57	シュ	シュ, ズ	て	て, て-, -て, た-	hand	hand
週	4	2	540	11	196	92	シュウ	シュウ			week	week
習	4	3	706	11	197	591	シュウ	シュウ, ジュ	なら(う)	なら･う, なら･い	learn	learn
住	4	3	270	7	198	156	ジュウ	ジュウ, ヂュウ, チュウ	す(む), す(まう)	す･む, す･まう, -ず･まい	live, dwell, reside	dwell, reside, live, inhabit
春	4	2	579	9	199	460	シュン	シュン	はる	はる	spring (season)	springtime, spring (season)
正	4	1	143	5	200	275	セイ, ショウ	セイ, ショウ	ただ(しい), ただ(す), まさ	ただ･しい, ただ･す, まさ, まさ･に	right, correct	correct, justice, righteous, 10**40
少	4	2	287	4	201	144	ショウ	ショウ	すく(ない), すこ(し)	すく･ない, すこ･し	little, few	few, little
場	4	2	52	12	202	154	ジョウ	ジョウ, チョウ	ば	ば	place	location, place
知	4	2	205	8	203	214	チ	チ	し(る)	し･る, し･らせる	know	know, wisdom
真	4	3	279	10	204	422	シン	シン	ま	ま, ま-, まこと	true, reality	true, reality, Buddhist sect
図	4	2	539	7	205	339	ズ, ト	ズ, ト	はか(る)	え, はか･る	drawing, plan	map, drawing, plan, extraordinary, audacious
世	4	3	135	5	206	252	セイ, セ	セイ, セ, ソウ	よ	よ	world, era	generation, world, society, public
夕	4	1	924	3	207	81	セキ	セキ	ゆう	ゆう	evening	evening
走	4	2	626	7	208	429	ソウ	ソウ	はし(る)	はし･る	run	run
族	4	3	393	11	209	221	ゾク	ゾク			family, tribe	tribe, family
注	4	3	497	8	210	357	チュウ	チュウ	そそ(ぐ)	そそ･ぐ, さ･す, つ･ぐ	note, pour	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate
田	4	1	90	5	211	35	デン	デン	た	た	rice field	rice field, rice paddy
台	4	2	262	5	212	492	ダイ, タイ	ダイ, タイ		うてな, われ, つかさ	stand, pedestal	pedestal, a stand, counter for machines and vehicles
待	4	3	391	9	213	452	タイ	タイ	ま(つ)	ま･つ, -ま･ち	wait	wait, depend on
題	4	3	96	18	214	354	ダイ	ダイ			topic, title	topic, subject
度	4	3	110	9	215	377	ト, ド, タク	ド, ト, タク	たび	たび, -た･い	time, degree	degrees, occurrence, time, counter for occurrences, consider, attitude
立	4	1	58	5	216	121	リツ	リツ, リュウ, リットル	た(つ), た(てる)	た･つ, -た･つ, た･ち-, た･てる, -た･てる, た･て-, たて-, -た･て, -だ･て, -だ･てる	stand, raise	stand up, rise, set up, erect
旅	4	3	783	10	217	222	リョ	リョ	たび	たび	travel, trip	trip, travel
力	4	1	62	2	218	100	リョク, リキ	リョク, リキ, リイ	ちから	ちから	strength, force, power	power, strength, strong, strain, bear up, exert
昼	4	2	1115	9	219	470	チュウ	チュウ	ひる	ひる	daytime, noon	daytime, noon
町	4	1	292	7	220	182	チョウ	チョウ	まち	まち	town, street	town, village, block, street
鳥	4	2	1043	11	221	285	チョウ	チョウ	とり	とり	bird	bird, chicken
店	4	2	378	8	222	168	テン	テン	みせ	みせ, たな	store, shop	store, shop
問	4	3	64	11	223	162	モン	モン	と(う), と(い), とん	と･う, と･い, とん	question, problem	question, ask, problem
冬	4	2	1090	5	224	459	トウ	トウ	ふゆ	ふゆ	winter	winter
道	4	2	207	12	225	149	ドウ, トウ	ドウ, トウ	みち	みち, いう	way, street, path	road-way, street, district, journey, course, moral, teachings
堂	4	5	1010	11	226	496	ドウ	ドウ			hall, temple	public chamber, hall
特	4	4	234	10	227	282	トク	トク			special	special
肉	4	2	986	6	228	223	ニク	ニク		しし	meat, flesh	meat
野	4	2	120	11	229	236	ヤ	ヤ, ショ	の	の, の-	field, plain	plains, field, rustic, civilian life
発	4	3	32	9	230	96	ハツ, ホツ	ハツ, ホツ		た･つ, あば･く, おこ･る, つか･わす, はな･つ	start, leave, emit, publish	departure, discharge, publish, emit, start from, disclose, counter for gunshots
飯	4	4	1046	12	231	325	ハン	ハン	めし	めし	cooked rice, meal	meal, boiled rice
病	4	3	384	10	232	380	ビョウ, ヘイ	ビョウ, ヘイ	や(む), やまい	や･む, -や･み, やまい	illness	ill, sick
不	4	4	101	4	233	94	フ, ブ	フ, ブ			not, un-	negative, non-, bad, ugly, clumsy
服	4	3	873	8	234	683	フク	フク			clothes, submit	clothing, admit, obey, discharge
物	4	3	215	8	235	79	ブツ, モツ	ブツ, モツ	もの	もの, もの-	thing, object	thing, object, matter
文	4	1	190	4	236	111	ブン, モン	ブン, モン	ふみ	ふみ, あや	sentence, letter	sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)
別	4	4	214	7	237	267	ベツ	ベツ	わか(れる)	わか･れる, わ･ける	separate, another	separate, branch off, diverge, fork, another, extra, specially
勉	4	3	1066	10	238	735	ベン	ベン		つと･める	effort, endeavor	exertion, endeavour, encourage, strive, make effort, diligent
目	4	1	76	5	239	55	モク, ボク	モク, ボク	め	め, -め, ま-	eye	eye, class, look, insight, experience, care, favor
用	4	2	107	5	240	107	ヨウ	ヨウ	もち(いる)	もち･いる	use, business, service	utilize, business, service, use, employ
夜	4	2	487	8	241	471	ヤ	ヤ	よ, よる	よ, よる	night, evening	night, evening
曜	4	2	940	18	242	19	ヨウ	ヨウ			day of the week	weekday
洋	4	3	763	9	243	289	ヨウ	ヨウ			ocean, Western	ocean, sea, foreign, Western style
理	4	2	86	11	244	143	リ	リ		ことわり	reason, principle, logic	logic, arrangement, reason, justice, truth
料	4	4	295	10	245	319	リョウ	リョウ			fee, materials	fee, materials
公	4	2	118	4	517	126	コウ	コウ, ク	おおやけ	おおやけ	public, official	public, prince, official, governmental
的	4	4	105	8	793	210	テキ	テキ	まと	まと	target, mark, object	bull's eye, mark, target, object, adjective ending
耳	3	1	1328	6	246	56	ジ	ジ	みみ	みみ	ear	ear
暗	3	3	1040	13	247	348	アン	アン	くら(い)	くら･い, くら･む, くれ･る	dark, dim	darkness, disappear, shade, informal, grow dark, be blinded
引	3	2	218	4	248	216	イン	イン	ひ(く), ひ(ける)	ひ･く, ひ･ける	pull, draw	pull, tug, jerk, admit, install, quote, refer to
遠	3	2	887	13	249	446	エン, オン	エン, オン	とお(い)	とお･い	far, distant	distant, far
回	3	2	50	6	250	90	カイ, エ	カイ, エ	まわ(る), まわ(す)	まわ･る, -まわ･る, -まわ･り, まわ･す, -まわ･す, まわ･し-, -まわ･し, もとお･る, か･える	a time, turn, revolve	-times, round, game, revolve, counter for occurrences
寒	3	3	1456	12	251	457	カン	カン	さむ(い)	さむ･い	cold	cold
顔	3	2	676	18	252	277	ガン	ガン	かお	かお	face	face, expression
光	3	2	527	6	256	138	コウ	コウ	ひかり, ひか(る)	ひか･る, ひかり	light, shine	ray, light
好	3	4	423	6	257	104	コウ	コウ	す(く), この(む)	この･む, す･く, よ･い, い･い	like, favorable	fond, pleasing, like something
合	3	2	41	6	258	159	ゴウ, ガッ, カッ	ゴウ, ガッ, カッ	あ(う), あ(わす), あ(わせる)	あ･う, -あ･う, あ･い, あい-, -あ･い, -あい, あ･わす, あ･わせる, -あ･わせる	fit, suit, match	fit, suit, join, 0.1
産	3	4	161	11	260	278	サン	サン	うぶ, う(む)	う･む, う･まれる, うぶ-, む･す	childbirth, product	products, bear, give birth, yield, childbirth, native, property
市	3	2	42	5	261	181	シ	シ	いち	いち	city, market	market, city, town
首	3	2	98	9	263	148	シュ	シュ	くび	くび	neck, head	neck, counter for songs and poems
所	3	3	221	8	265	153	ショ	ショ	ところ	ところ, -ところ, どころ, とこ	place, area	place, extent
乗	3	3	377	9	266	523	ジョウ	ジョウ, ショウ	の(る), の(せる)	の･る, -の･り, の･せる	get on, ride	ride, power, multiplication, record, counter for vehicles, board, mount, join
進	3	3	142	11	268	437	シン	シン	すす(む), すす(める)	すす･む, すす･める	advance, progress	advance, proceed, progress, promote
声	3	2	388	7	269	746	セイ, ショウ	セイ, ショウ	こえ, こわ	こえ, こわ-	voice	voice
説	3	4	326	14	270	400	セツ, ゼイ	セツ, ゼイ	と(く)	と･く	explain, theory	opinion, theory, explanation, rumor
洗	3	6	1168	9	271	692	セン	セン	あら(う)	あら･う	wash	wash, inquire into, probe
太	3	2	552	4	273	629	タイ, タ	タイ, タ	ふと(い), ふと(る)	ふと･い, ふと･る	big, fat, thick	plump, thick, big around
都	3	3	123	11	277	188	ツ, ト	ト, ツ	みやこ	みやこ	capital, city	metropolis, capital, all, everything
民	3	4	28	5	279	177	ミン	ミン	たみ	たみ	people, nation	people, nation, subjects
薬	3	3	702	16	281	359	ヤク	ヤク	くすり	くすり	medicine, drug	medicine, chemical, enamel, gunpowder, benefit
相	3	3	45	9	282	146	ソウ, ショウ	ソウ, ショウ	あい	あい-	aspect, phase, each other	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy
愛	3	4	640	13	283	259	アイ	アイ		いと･しい, かな･しい, め･でる, お･しむ, まな	love	love, affection, favourite
商	3	3	413	11	284	412	ショウ	ショウ	あきな(う)	あきな･う	trade, sell	make a deal, selling, dealing in, merchant
遊	3	3	941	12	288	1003	ユウ, ユ	ユウ, ユ	あそ(ぶ)	あそ･ぶ, あそ･ばす	play, be idle	play
値	3	6	518	10	289	425	チ	チ	ね, あたい	ね, あたい	value, price	price, cost, value
与	3	8	308	3	290	539	ヨ	ヨ	あた(える)	あた･える, あずか･る, くみ･する, ともに	give, grant	bestow, participate in, give, award, impart, provide, cause, gift, godsend
頭	3	2	433	16	293	276	トウ, ト, ズ	トウ, ズ, ト	あたま, かしら	あたま, かしら, -がしら, かぶり	head, leader, top	head, counter for large animals
当	3	2	91	6	295	77	トウ	トウ	あ(てる), あ(たる)	あ･たる, あ･たり, あ･てる, あ･て, まさ･に, まさ･にべし	hit, win, allot	hit, right, appropriate, himself
熱	3	4	700	15	297	645	ネツ	ネツ	あつ(い)	あつ･い	heat, hot, fever	heat, temperature, fever, mania, passion
危	3	6	606	6	302	534	キ	キ	あぶ(ない), あや(うい)	あぶ･ない, あや･うい, あや･ぶむ	dangerous	dangerous, fear, uneasy
余	3	5	680	7	306	1063	ヨ	ヨ	あま(る), あま(す)	あま･る, あま･り, あま･す, あんま･り	remainder, excess	too much, myself, surplus, other, remainder
過	3	5	285	12	308	413	カ	カ	す(ぎる), す(ごす), あやま(ち)	す･ぎる, す･ごす, あやま･ち, あやま･つ, よぎ･る, よ･ぎる	pass, exceed, error	overdo, exceed, go beyond, error
誤	3	6	1150	14	309	906	ゴ	ゴ	あやま(る)	あやま･る, -あやま･る	error, mistake	mistake, err, do wrong, mislead
争	3	4	271	6	311	302	ソウ	ソウ	あらそ(う), あらそ(い)	あらそ･う, いか･でか	quarrel, dispute, contend	contend, dispute, argue
表	3	3	77	8	313	272	ヒョウ	ヒョウ	おもて, あらわ(す), あらわ(れる)	おもて, -おもて, あらわ･す, あらわ･れる, あら･わす	surface, chart, express	surface, table, chart, diagram
