learned	on'yomi	on'yomi kana	kun'yomi	kun'yomi kana	meaning	ref_sh_kk
233	FU, BU	フ, ブ			not, un-	94
234	FUKU	フク			clothes, submit	683
235	BUTSU, MOTSU	ブツ, モツ	mono	もの	thing, object	79
236	BUN, MON	ブン, モン	fumi	ふみ	sentence, letter	111
237	BETSU	ベツ	waka(reru)	わか(れる)	separate, another	267
238	BEN	ベン			effort, endeavor	735
239	MOKU	モク	me	め	eye	55
240	YOU	ヨウ	mochi(iru)	もち(いる)	use, business, service	107
241	YA	ヤ	yo, yoru	よ, よる	night, evening	471
242	YOU	ヨウ			day of the week	19
243	YOU	ヨウ			ocean, Western	289
244	RI	リ			reason, principle, logic	143
245	RYOU	リョウ			fee, materials	319
246	JI	ジ	mimi	みみ	ear	56
247	AN	アン	kura(i)	くら(い)	dark, dim	348
248	IN	イン	hi(ku), hi(keru)	ひ(く), ひ(ける)	pull, draw	216
249	EN, ON	エン, オン	too(i)	とお(い)	far, distant	446
250	KAI, E	カイ, エ	mawa(ru), mawa(su)	まわ(る), まわ(す)	a time, turn, revolve	90
251	KAN	カン	samu(i)	さむ(い)	cold	457
252	GAN	ガン	kao	かお	face	277
253	KU	ク			district, ward	183
254	KEI	ケイ	karu(i), karo(yaka)	かる(い), かろ(やか)	light, insignificant	547
255	KEN	ケン			prefecture	194
256	KOU	コウ	hikari, hika(ru)	ひかり, ひか(る)	light, shine	138
257	KOU	コウ	su(ku), kono(mu)	す(く), この(む)	like, favorable	104
258	GOU, GAtsu, KAtsu	ゴウ, ガツ, カツ	a(u)	あ(う)	fit, match	159
259	SAI	サイ	na	な	vegetable	931
260	SAN	サン	ubu, u(mu)	うぶ, う(む)	childbirth, product	278
261	SHI	シ	ichi	いち	city, market	181
262	JAKU	ジャク	yowa(i), yowa(ru), yowa(maru), yowa(meru)	よわ(い), よわ(る), よわ(まる), よわ(める)	weak	218
263	SHU	シュ	kubi	くび	neck, head	148
264	SHO	ショ	atsu(i)	あつ(い)	hot	638
265	SHO	ショ	tokoro	ところ	place, area	153
266	JOU	ジョウ	no(ru), no(seru)	の(る), の(せる)	get on, ride	523
267	SHIN	シン	mori	もり	woods, forest	128
