kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
気	5	1	113	6	67	134	134	キ, ケ	キ, ケ		き	spirit, mind, energy, power	spirit, mind, air, atmosphere, mood	
車	5	1	333	7	68	133	133	シャ	シャ	くるま	くるま	car, vehicle	car	
国	5	2	3	8	69	40	40	コク	コク	くに	くに	country	country	
円	5	1	69	4	70	13	13	エン	エン	まる(い)	まる･い, まる, まど, まど･か, まろ･やか	round, yen	circle, yen, round	
話	5	2	134	13	71	238	238	ワ	ワ	はな(し), はな(す)	はな･す, はなし	talk, topic, story	tale, talk	
聞	5	2	319	14	72	64	64	ブン, モン	ブン, モン	き(く), き(こえる)	き･く, き･こえる	hear, listen, ask	hear, ask, listen	
食	5	2	328	9	73	322	322	ショク, ジキ	ショク, ジキ	た(べる), く(う), く(らう)	く･う, く･らう, た･べる, は･む	eat, food	eat, food	
読	5	2	618	14	74	244	244	トク, ドク	ドク, トク, トウ	よ(む)	よ･む, -よ･み	read	read	
来	5	2	102	7	75	69	69	ライ	ライ, タイ	く(る), きた(る), きた(す)	く･る, きた･る, きた･す, き･たす, き･たる, き, こ	come	come, due, next, cause, become	
書	5	2	169	10	76	131	131	ショ	ショ	か(く)	か･く, -が･き, -がき	write, book	write	
見	5	1	22	7	77	63	63	ケン	ケン	み(る), み(える), み(せる)	み･る, み･える, み･せる	see, show	see, hopes, chances, idea, opinion, look at, visible	
行	5	2	20	6	78	68	68	コウ, ギョウ	コウ, ギョウ, アン	い(く), ゆ(く)	い･く, ゆ･く, -ゆ･き, -ゆき, -い･き, -いき, おこな･う, おこ･なう	go	going, journey, carry out, conduct, act, line, row, bank	
出	5	1	13	5	79	53	53	シュツ, スイ	シュツ, スイ	だ(す), で(る)	で･る, -で, だ･す, -だ･す, い･でる, い･だす	exit, leave, put out	exit, leave, go out, come out, put out, protrude	
入	5	1	56	2	80	52	52	ニュウ	ニュウ, ジュ	い(る), い(れる), はい(る)	い･る, -い･る, -い･り, い･れる, -い･れ, はい･る	enter, put in	enter, insert	
会	4	2	4	6	81	158	158	カイ, エ	カイ, エ	あ(う)	あ･う, あ･わせる, あつ･まる	meet	meeting, meet, party, association, interview, join	
青	4	1	589	8	82	208	208	セイ, ショウ	セイ, ショウ	あお(い)	あお, あお-, あお･い	blue	blue, green	
赤	4	1	584	7	83	207	207	セキ	セキ, シャク	あか(い)	あか, あか-, あか･い, あか･らむ, あか･らめる	red	red	
