kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
機	3	4	127	16	528	528	537	キ	キ	はた	はた	machine, loom, opportunity	loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion	2023-09-17T13:08:20.645288
加	3	4	130	5	431	709	722	カ	カ	くわ(える), くわ(わる)	くわ･える, くわ･わる	add, join, increase	add, addition, increase, join, include, Canada	2023-09-17T13:08:20.645288
続	3	4	141	13	811	243	243	ゾク	ゾク, ショク, コウ, キョウ	つづ(く), つづ(ける)	つづ･く, つづ･ける, つぐ･ない	continue	continue, series, sequel	2023-09-17T13:08:20.645288
初	3	4	152	7	355	679	692	ショ	ショ	うい, はつ, はじ(め)	はじ･め, はじ･めて, はつ, はつ-, うい-, -そ･める, -ぞ･め	first, beginning	first time, beginning	2023-09-18T18:42:13.373581
産	3	4	161	11	260	278	278	サン	サン	うぶ, う(む), う(まれる)	う･む, う･まれる, うぶ-, む･す	childbirth, product	products, bear, give birth, yield, childbirth, native, property	2023-09-18T18:42:13.373581
共	3	4	174	6	585	196	196	キョウ	キョウ	とも	とも, とも･に, -ども	together, both	together, both, neither, all, and, alike, with	2023-09-18T18:42:13.373581
参	3	4	201	8	733	710	723	サン	サン, シン	まい(る)	まい･る, まい-, まじわる, みつ	come, go, visit	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in	2023-09-24T19:18:58.767626
利	3	4	203	7	541	329	329	リ	リ	き(く)	き･く	advantage, profit	profit, advantage, benefit	2023-09-24T19:18:58.767626
信	3	4	208	9	814	157	157	シン	シン			believe, trust, faith	faith, truth, fidelity, trust	2023-09-24T19:18:58.767626
側	3	4	216	11	489	609	619	ソク	ソク	かわ	かわ, がわ, そば	side	side, lean, oppose, regret	2023-09-25T13:25:50.893137
求	3	4	220	7	567	724	737	キュウ	キュウ, グ	もと(める)	もと･める	want, request, demand	request, want, wish for, require, demand	2023-09-25T13:25:50.893137
昨	3	4	226	9	656	361	362	サク	サク			past, yesterday	yesterday, previous	2023-09-25T13:25:50.893137
官	3	4	230	8	493	326	326	カン	カン			government, bureaucrat	bureaucrat, the government, organ	2023-09-27T20:49:43.148745
変	3	4	238	9	451	257	257	ヘン	ヘン	か(わる), か(える)	か･わる, か･わり, か･える	change, strange	unusual, change, strange	2023-09-27T20:49:43.148745
果	3	4	258	8	432	487	496	カ	カ	は(たす), は(てる), は(て)	は･たす, はた･す, -は･たす, は･てる, -は･てる, は･て	fruit, end, result	fruit, reward, carry out, achieve, complete, end, finish, succeed	2023-09-27T20:49:43.148745
必	3	4	265	5	480	520	529	ヒツ	ヒツ	かなら(ず)	かなら･ず	surely, invariably	invariably, certain, inevitable	2023-09-28T19:38:13.158362
争	3	4	271	6	311	302	302	ソウ	ソウ	あらそ(う)	あらそ･う, いか･でか	argue, dispute, contend	contend, dispute, argue	2023-09-28T19:38:13.158362
位	3	4	276	7	320	122	122	イ	イ	くらい	くらい, ぐらい	rank, position	rank, grade, throne, crown, about, some	2023-09-28T19:38:13.158362
置	3	4	277	13	407	426	432	チ	チ	お(く)	お･く, -お･き	put, place	placement, put, set, deposit, leave behind, keep, employ, pawn	2023-10-01T13:36:46.512217
付	3	4	322	5	690	192	192	フ	フ	つ(く), つ(ける)	つ･ける, -つ･ける, -づ･ける, つ･け, つ･け-, -つ･け, -づ･け, -づけ, つ･く, -づ･く, つ･き, -つ･き, -つき, -づ･き, -づき	attach, append	adhere, attach, refer to, append	2023-10-01T13:36:46.512217
説	3	4	326	14	270	400	404	セツ, ゼイ	セツ, ゼイ	と(く)	と･く	explain, opinion, theory	opinion, theory, explanation, rumor	2023-10-01T13:36:46.512217
夫	3	4	335	4	416	315	315	フ, フウ	フ, フウ, ブ	おっと	おっと, それ	husband	husband, man	2023-10-02T20:55:15.366711
害	3	4	358	10	447	518	527	ガイ	ガイ			harm, injury, damage	harm, injury	2023-10-02T20:55:15.366711
席	3	4	370	10	790	379	380	セキ	セキ		むしろ	seat, place	seat, mat, occasion, place	2023-10-02T20:55:15.366711
残	3	4	380	10	728	650	661	ザン	ザン, サン	のこ(る), のこ(す)	のこ･る, のこ･す, そこな･う, のこ･り	remain, leave behind	remainder, leftover, balance	2023-10-05T20:59:26.232396
念	3	4	390	8	934	579	588	ネン	ネン			thought, idea, desire, attention	wish, sense, idea, thought, feeling, desire, attention	2023-10-05T20:59:26.232396
労	3	4	398	7	1008	233	233	ロウ	ロウ		ろう･する, いたわ･る, いた･ずき, ねぎら, つか･れる, ねぎら･う	labor, toil	labor, thank for, reward for, toil, trouble	2023-10-05T20:59:26.232396
例	3	4	399	8	874	612	622	レイ	レイ	たと(える)	たと･える	example, custom	example, custom, usage, precedent	2023-10-09T16:24:41.722842
然	3	4	401	12	725	651	662	ゼン, ネン	ゼン, ネン		しか, しか･り, しか･し, さ	like, so, sort of thing	sort of thing, so, if so, in that case, well	2023-10-09T16:24:41.722842
伝	3	4	416	6	537	434	440	デン	デン, テン	つた(える), つた(わる), つた(う)	つた･わる, つた･える, つた･う, つだ･う, -づた･い, つて	tell, report, transmit	transmit, go along, walk along, follow, report, communicate, legend, tradition	2023-10-09T16:24:41.722842
働	3	4	417	13	689	232	232	ドウ	ドウ	はたら(く)	はたら･く	work, labor	work, (kokuji)	2023-10-10T18:18:16.459614
景	3	4	419	12	624	853	872	ケイ	ケイ			view, scene	scenery, view	2023-10-10T18:18:16.459614
好	3	4	423	6	257	104	104	コウ	コウ	す(く), この(む)	この･む, す･く, よ･い, い･い	like, pleasing	fond, pleasing, like something	2023-10-10T18:18:16.459614
失	3	4	447	5	361	311	311	シツ	シツ	うしな(う)	うしな･う, う･せる	lose	lose, error, fault, disadvantage, loss	2023-10-14T12:14:44.804298
差	3	4	449	10	598	658	669	サ	サ	さ(す)	さ･す, さ･し	difference	distinction, difference, variation, discrepancy, margin, balance	2023-10-14T12:14:44.804298
末	3	4	456	5	514	305	305	マツ, バツ	マツ, バツ	すえ	すえ, うら, うれ	end	end, close, tip, powder, posterity	2023-10-14T12:14:44.804298
種	3	4	461	14	764	228	228	シュ	シュ	たね	たね, -ぐさ	kind, type, seed	species, kind, class, variety, seed	2023-10-15T23:45:36.305089
望	3	4	470	11	937	673	685	ボウ, モウ	ボウ, モウ	のぞ(む)	のぞ･む, もち	hope, desire, expect	ambition, full moon, hope, desire, aspire to, expect	2023-10-15T23:45:36.305089
観	3	4	476	18	496	604	614	カン	カン		み･る, しめ･す	outlook, appearance, view	outlook, look, appearance, condition, view	2023-10-15T23:45:36.305089
察	3	4	477	14	717	619	629	サツ	サツ			surmise, guess, understand	guess, presume, surmise, judge, understand	2023-10-16T10:22:08.719667
達	3	4	500	12	515	448	455	タツ	タツ, ダ	たち	-たち	reach, arrive	accomplished, reach, arrive, attain	2023-10-16T10:22:08.719667
良	3	4	501	7	993	321	321	リョウ	リョウ	よ(い)	よ･い, -よ･い, い･い, -い･い	good	good, pleasing, skilled	2023-10-16T10:22:08.719667
候	3	4	510	10	649	944	974	コウ	コウ	そうろう	そうろう	climate, season, weather	climate, season, weather, wait for, expect	2023-10-17T18:00:14.229336
満	3	4	515	12	984	201	201	マン	マン, バン	み(ちる), み(たす)	み･ちる, み･つ, み･たす	full	full, fullness, enough, satisfy	2023-10-17T18:00:14.229336
敗	3	4	516	11	812	511	520	ハイ	ハイ	やぶ(れる)	やぶ･れる	failure, defeat	failure, defeat, reversal	2023-10-17T18:00:14.229336
積	3	4	541	16	838	656	667	セキ	セキ	つ(む), つ(もる)	つ･む, -づ･み, つ･もる, つ･もり	volume, pile up, accumulate	volume, product (x*y), acreage, contents, pile up, stack, load, amass	2023-10-21T17:31:32.538338
飛	3	4	580	9	749	530	539	ヒ	ヒ	と(ぶ), と(ばす)	と･ぶ, と･ばす, -と･ばす	fly	fly, skip (pages), scatter	2023-10-21T17:31:32.538338
単	3	4	586	9	876	300	300	タン	タン		ひとえ	simple, single	simple, one, single, merely	2023-10-21T17:31:32.538338
完	3	4	595	7	492	613	623	カン	カン			complete, perfect	perfect, completion, end	2023-10-22T19:04:44.501612
給	3	4	615	12	570	346	346	キュウ	キュウ		たま･う, たも･う, -たま･え	supply, salary	salary, wage, gift, allow, grant, bestow on	2023-10-22T19:04:44.501612
辞	3	4	633	13	655	688	701	ジ	ジ	や(める)	や･める, いな･む	word, resign	resign, word, term, expression	2023-10-22T19:04:44.501612
愛	3	4	640	13	283	259	259	アイ	アイ		いと･しい, かな･しい, め･でる, お･しむ, まな	love	love, affection, favourite	2023-10-23T20:16:40.283833
富	3	4	644	12	919	713	726	フ, フウ	フ, フウ	とみ, と(む)	と･む, とみ	wealth	wealth, enrich, abundant	2023-10-23T20:16:40.283833
未	3	4	650	5	985	306	306	ミ	ミ, ビ		いま･だ, ま･だ, ひつじ	not yet	un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac	2023-10-23T20:16:40.283833
冷	3	4	667	7	719	832	851	レイ	レイ	つめ(たい), さ(める), さ(ます), ひ(える), ひ(やす)	つめ･たい, ひ･える, ひ･や, ひ･ややか, ひ･やす, ひ･やかす, さ･める, さ･ます	cold, chill	cool, cold (beer, person), chill	2023-10-24T21:29:02.780600
類	3	4	678	18	783	226	226	ルイ	ルイ	たぐ(い)	たぐ･い	kind, sort, variety	sort, kind, variety, class, genus	2023-10-24T21:29:02.780600
熱	3	4	700	15	297	645	655	ネツ	ネツ	あつ(い)	あつ･い	heat, hot, fever	heat, temperature, fever, mania, passion	2023-10-24T21:29:02.780600
覚	3	4	710	12	421	605	615	カク	カク	おぼ(える), さ(める), さ(ます)	おぼ･える, さ･ます, さ･める, さと･る	remember, learn, awake	memorize, learn, remember, awake, sober up	2023-10-25T18:26:40.562888
努	3	4	749	7	890	1595	1702	ド	ド	つと(める)	つと･める	toil, strive	toil, diligent, as much as possible	2023-10-25T18:26:40.562888
散	3	4	758	12	729	767	781	サン	サン	ち(る), ち(らす), ち(らかる), ち(らかす)	ち･る, ち･らす, -ち･らす, ち･らかす, ち･らかる, ち･らばる, ばら, ばら･ける	scatter, disperse	scatter, disperse, spend, squander	2023-10-25T18:26:40.562888
静	3	4	764	14	572	663	674	セイ, ジョウ	セイ, ジョウ	しず(か), しず(まる), しず(める)	しず-, しず･か, しず･まる, しず･める	quiet, peaceful	quiet	2023-10-26T21:29:43.046117
老	3	4	803	6	394	543	552	ロウ	ロウ	お(いる), ふ(ける)	お･いる, ふ･ける	grow old	old man, old age, grow old	2023-10-26T21:29:43.046117
徒	3	4	817	10	901	430	436	ト	ト		いたずら, あだ	junior, vain, useless	on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people	2023-10-26T21:29:43.046117
欠	3	4	860	4	457	383	384	ケツ	ケツ, ケン	か(く), か(ける)	か･ける, か･く	lack	lack, gap, fail, yawning radical (no. 76)	2023-10-28T18:44:35.617826
願	3	4	894	19	516	581	590	ガン	ガン	ねが(う)	ねが･う, -ねがい	petition, request, desire	petition, request, vow, wish, hope	2023-10-28T18:44:35.617826
笑	3	4	913	10	384	1235	1299	ショウ	ショウ	わら(う), え(む)	わら･う, え･む	laugh, smile	laugh	2023-10-28T18:44:35.617826
束	3	4	918	7	857	501	510	ソク	ソク	たば	たば, たば･ねる, つか, つか･ねる	bundle, sheaf	bundle, sheaf, ream, tie in bundles, govern, manage, control	2023-10-29T15:33:58.628064
折	3	4	962	7	423	1394	1483	セツ	セツ, シャク	お(る), お(れる), おり	お･る, おり, お･り, -お･り, お･れる	break, fold, bend	fold, break, fracture, bend, yield, submit	2023-10-29T15:33:58.628064
政	3	5	17	9	805	483	492	セイ, ショウ	セイ, ショウ	まつりごと	まつりごと, まん	politics, government	politics, government	2023-10-29T15:33:58.628064
経	3	5	79	11	587	548	557	ケイ, キョウ	ケイ, キョウ, キン	へ(る), た(つ)	へ･る, た･つ, たていと, はか･る, のり	longitude, pass, elapse, sutra	sutra, longitude, pass thru, expire, warp	2023-10-30T19:31:46.676919
現	3	5	85	11	314	298	298	ゲン	ゲン	あらわ(れる), あらわ(す)	あらわ･れる, あらわ･す, うつつ, うつ･つ	present, appear, show	present, existing, actual	2023-10-30T19:31:46.676919
性	3	5	104	8	798	98	98	セイ, ショウ	セイ, ショウ		さが	nature, sex, gender	sex, gender, nature	2023-10-30T19:31:46.676919
制	3	5	108	8	835	427	433	セイ	セイ			system, regulations	system, law, rule	2023-11-01T21:40:56.714686
務	3	5	111	11	891	235	235	ム	ム	つと(める), つと(まる)	つと･める	work, duties	task, duties	2023-11-01T21:40:56.714686
支	3	5	159	4	712	318	318	シ	シ	ささ(える)	ささ･える, つか･える, か･う	branch, support	branch, support, sustain, branch radical (no. 65)	2023-11-01T21:40:56.714686
報	3	5	167	12	976	685	698	ホウ	ホウ	むく(いる)	むく･いる	news, report, reward	report, news, reward, retribution	2023-11-02T20:04:16.242343
得	3	5	175	11	374	374	375	トク	トク	え(る), う(る)	え･る, う･る	gain, acquire, profit	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit	2023-11-02T20:04:16.242343
解	3	5	176	13	443	474	482	カイ, ゲ	カイ, ゲ	と(く), と(ける), と(かす)	と･く, と･かす, と･ける, ほど･く, ほど･ける, わか･る, さと･る	solve, untie	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute	2023-11-02T20:04:16.242343
資	3	5	179	13	741	750	763	シ	シ			assets, resources, funds	assets, resources, capital, funds, data, be conducive to, contribute to	2023-11-03T15:06:45.871746
際	3	5	183	14	601	618	628	サイ	サイ	きわ	きわ, -ぎわ	occasion, edge, side	occasion, side, edge, verge, dangerous, adventurous, indecent, time, when	2023-11-03T15:06:45.871746
告	3	5	188	7	670	690	703	コク	コク	つ(げる)	つ･げる	tell, inform, announce	revelation, tell, inform, announce	2023-11-03T15:06:45.871746
判	3	5	197	7	950	1026	1065	ハン, バン	ハン, バン		わか･る	judgment, stamp, seal	judgement, signature, stamp, seal	2023-11-04T12:09:44.869619
在	3	5	211	6	316	268	268	ザイ	ザイ	あ(る)	あ･る	exist, outskirts	exist, outskirts, suburbs, located in	2023-11-04T12:09:44.869619
件	3	5	212	6	631	732	745	ケン	ケン		くだん	matter, affair, case	affair, case, matter, item	2023-11-04T12:09:44.869619
任	3	5	217	6	929	334	334	ニン	ニン	まか(す), まか(せる)	まか･せる, まか･す	responsibility, entrust	responsibility, duty, term, entrust to, appoint	2023-11-05T10:01:56.860458
増	3	5	231	14	755	712	725	ゾウ	ゾウ	ま(す), ふ(える), ふ(やす)	ま･す, ま･し, ふ･える, ふ･やす	increase, augment	increase, add, augment, gain, promote	2023-11-05T10:01:56.860458
情	3	5	235	11	808	209	209	ジョウ, セイ	ジョウ, セイ	なさ(け)	なさ･け	emotion, circumstances	feelings, emotion, passion, sympathy, circumstances, facts	2023-11-05T10:01:56.860458
示	3	5	237	5	739	615	625	ジ, シ	ジ, シ	しめ(す)	しめ･す	show, indicate	show, indicate, point out, express, display	2023-11-06T21:11:40.515683
確	3	5	252	15	461	603	613	カク	カク, コウ	たし(か), たし(かめる)	たし･か, たし･かめる	certain	assurance, firm, tight, hard, solid, confirm, clear, evident	2023-11-06T21:11:40.515683
容	3	5	264	10	995	654	665	ヨウ	ヨウ		い･れる	content, form	contain, form, looks	2023-11-06T21:11:40.515683
演	3	5	267	14	388	344	344	エン	エン			performance, play, act	performance, act, play, render, stage	2023-11-08T21:03:38.580234
能	3	5	273	10	781	386	387	ノウ	ノウ		よ･く, あた･う	ability, talent, Noh	ability, talent, skill, capacity	2023-11-08T21:03:38.580234
格	3	5	281	10	460	643	653	カク, コウ	カク, コウ, キャク, ゴウ			status, rank, case	status, rank, capacity, character, case (law, grammar)	2023-11-08T21:03:38.580234
過	3	5	285	12	308	413	419	カ	カ	す(ぎる), す(ごす), あやま(ち)	す･ぎる, す･ごす, あやま･ち, あやま･つ, よぎ･る, よ･ぎる	pass, exceed, error	overdo, exceed, go beyond, error	2023-11-15T19:16:53.091753
常	3	5	293	11	807	497	506	ジョウ	ジョウ	つね, とこ	つね, とこ-	usual, normal, always	usual, ordinary, normal, common, regular, continually, always, long-lasting	2023-11-15T19:16:53.091753
状	3	5	298	7	806	626	636	ジョウ	ジョウ			condition, circumstances	status quo, conditions, circumstances, form, appearance	2023-11-15T19:16:53.091753
職	3	5	305	18	683	385	386	ショク	ショク, ソク			employment, job	post, employment, work	2023-11-19T12:49:20.194957
可	3	5	314	5	435	388	390	カ	カ, コク		-べ･き, -べ･し	possible, approval	can, passable, mustn't, should not, do not	2023-11-19T12:49:20.194957
構	3	5	316	14	482	1010	1048	コウ	コウ	かま(う), かま(える)	かま･える, かま･う	build, set up, mind, care about	posture, build, pretend	2023-11-19T12:49:20.194957
費	3	5	321	12	815	749	762	ヒ	ヒ	つい(やす), つい(える)	つい･やす, つい･える	spend, waste	expense, cost, spend, consume, waste	2023-11-20T11:26:20.090303
断	3	5	338	11	673	1024	1063	ダン	ダン	ことわ(る), た(つ)	た･つ, ことわ･る, さだ･める	judgment, decline, cut off	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting	2023-11-20T11:26:20.090303
規	3	5	349	11	529	607	617	キ	キ			standard, measure	standard, measure	2023-11-20T11:26:20.090303
術	3	5	350	11	770	187	187	ジュツ	ジュツ		すべ	art, technique, means	art, technique, skill, means, trick, resources, magic	2023-11-21T21:19:42.839316
備	3	5	356	12	863	768	782	ビ	ビ	そな(える), そな(わる)	そな･える, そな･わる, つぶさ･に	equip, prepare, provide	equip, provision, preparation	2023-11-21T21:19:42.839316
限	3	5	405	9	456	847	866	ゲン	ゲン	かぎ(る)	かぎ･る, かぎ･り, -かぎ･り	limit, restrict	limit, restrict, to best of ability	2023-11-21T21:19:42.839316
非	3	5	472	8	954	498	507	ヒ	ヒ		あら･ず	non-, un-, mistake	un-, mistake, negative, injustice, non-	2023-11-22T18:12:19.153557
財	3	5	494	10	704	553	562	ザイ, サイ	ザイ, サイ, ゾク		たから	money, wealth, property	property, money, wealth, assets	2023-11-22T18:12:19.153557
識	3	5	496	19	756	681	694	シキ	シキ		し･る, しる･す	know, discriminate	discriminating, know, write	2023-11-22T18:12:19.153557
程	3	5	514	12	896	417	423	テイ	テイ	ほど	ほど, -ほど	degree, extent	extent, degree, law, formula, distance, limits, amount	2023-11-26T21:32:40.386053
師	3	5	563	10	740	409	415	シ	シ		いくさ	teacher, army	expert, teacher, master, model, exemplar, army (incl. counter), war	2023-11-26T21:32:40.386053
易	3	5	571	8	322	759	772	エキ, イ	エキ, イ	やさ(しい)	やさ･しい, やす･い	easy, simple, divination	easy, ready to, simple, fortune-telling, divination	2023-11-26T21:32:40.386053
殺	3	5	581	10	678	576	585	サツ, サイ, セツ	サツ, サイ, セツ	ころ(す)	ころ･す, -ごろ･し, そ･ぐ	kill	kill, murder, butcher, slice off, split, diminish, reduce, spoil	2023-11-27T21:56:50.988654
破	3	5	590	10	938	665	676	ハ	ハ	やぶ(る), やぶ(れる)	やぶ･る, やぶ･れる, わ･れる	tear, break	rend, rip, tear, break, destroy, defeat, frustrate	2023-11-27T21:56:50.988654
責	3	5	598	11	839	655	666	セキ	セキ	せ(める)	せ･める	responsibility, blame, condemn	blame, condemn, censure	2023-11-27T21:56:50.988654
因	3	5	636	6	352	554	563	イン	イン	よ(る)	よ･る, ちな･む	cause, depend on	cause, factor, be associated with, depend on, be limited to	2023-11-29T17:52:13.132850
適	3	5	670	14	898	415	421	テキ	テキ		かな･う	suitable	suitable, occasional, rare, qualified, capable	2023-11-29T17:52:13.132850
婦	3	5	671	11	962	316	316	フ	フ	よめ	よめ	woman, wife, lady	lady, woman, wife, bride	2023-11-29T17:52:13.132850
寄	3	5	673	11	530	1361	1445	キ	キ	よ(る), よ(せる)	よ･る, -よ･り, よ･せる	draw near, gather, send	draw near, stop in, bring near, gather, collect, send, forward	2023-12-04T11:50:29.154078
余	3	5	680	7	306	1063	1109	ヨ	ヨ	あま(る), あま(す)	あま･る, あま･り, あま･す, あんま･り	surplus, remainder	too much, myself, surplus, other, remainder	2023-12-04T11:50:29.154078
妻	3	5	691	8	700	671	682	サイ	サイ	つま	つま	wife	wife, spouse	2023-12-04T11:50:29.154078
険	3	5	707	11	630	533	542	ケン	ケン	けわ(しい)	けわ･しい	steep, severe	precipitous, inaccessible place, impregnable position, steep place, sharp eyes	2023-12-11T14:30:54.444179
許	3	5	720	11	582	737	750	キョ	キョ	ゆる(す)	ゆる･す, もと	permit, allow	permit, approve	2023-12-11T14:30:54.444179
留	3	5	731	10	578	761	774	リュウ, ル	リュウ, ル	と(まる), と(める)	と･める, と･まる, とど･める, とど･まる, るうぶる	detain, fasten, stop	detain, fasten, halt, stop	2023-12-11T14:30:54.444179
罪	3	5	732	13	705	885	906	ザイ	ザイ	つみ	つみ	sin, crime, guilt	guilt, sin, crime, fault, blame, offense	2023-12-18T21:27:30.063036
精	3	5	752	14	787	659	670	セイ, ショウ	セイ, ショウ		しら･げる, くわ･しい	spirit, energy, vitality	refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill	2023-12-18T21:27:30.063036
喜	3	5	769	12	527	1143	1196	キ	キ	よろこ(ぶ)	よろこ･ぶ, よろこ･ばす	rejoice, delight	rejoice, take pleasure in	2023-12-18T21:27:30.063036
絶	3	5	784	12	779	742	755	ゼツ	ゼツ	た(える), た(やす), た(つ)	た･える, た･やす, た･つ	die out, eradicate, cut off	discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled	2023-12-22T20:37:20.920472
居	3	5	836	8	348	171	171	キョ	キョ, コ	い(る)	い･る, -い, お･る	live, exist, be	reside, to be, exist, live with	2023-12-22T20:37:20.920472
雑	3	5	839	14	653	575	584	ザツ, ゾウ	ザツ, ゾウ		まじ･える, まじ･る	miscellaneous, mix	miscellaneous	2023-12-22T20:37:20.920472
招	3	5	840	8	577	455	462	ショウ	ショウ	まね(く)	まね･く	summon, invite	beckon, invite, summon, engage	2023-12-26T13:33:19.727988
賛	3	5	868	15	734	745	758	サン	サン		たす･ける, たた･える	praise, agreement	approve, praise, title or inscription on picture, assist, agree with	2023-12-26T13:33:19.727988
犯	3	5	874	5	404	882	903	ハン	ハン, ボン	おか(す)	おか･す	crime, commit, violate	crime, sin, offense	2023-12-26T13:33:19.727988
似	3	5	923	7	746	1486	1583	ジ	ジ	に(る)	に･る, ひ･る	resemble, similar	becoming, resemble, counterfeit, imitate, suitable	2023-12-27T17:27:05.736868
迷	3	5	942	9	721	967	998	メイ	メイ	まよ(う)	まよ･う	perplexed, lost	astray, be perplexed, in doubt, lost, err, illusion	2023-12-27T17:27:05.736868
夢	3	5	943	13	987	811	830	ム	ム, ボウ	ゆめ	ゆめ, ゆめ･みる, くら･い	dream	dream, vision, illusion	2023-12-27T17:27:05.736868
慣	3	5	1177	14	498	915	937	カン	カン	な(れる), な(らす)	な･れる, な･らす	accustomed, get used to	accustomed, get used to, become experienced	2023-12-30T12:40:11.666366
貧	3	5	1211	11	959	753	766	ヒン, ビン	ヒン, ビン	まず(しい)	まず･しい	poor	poverty, poor	2023-12-30T12:40:11.666366
祖	3	5	1226	9	845	622	632	ソ	ソ			ancestor	ancestor, pioneer, founder	2023-12-30T12:40:11.666366
権	3	6	156	15	634	335	335	ケン, ゴン	ケン, ゴン		おもり, かり, はか･る	authority, power, right	authority, power, rights	2023-12-31T11:42:30.087762
済	3	6	168	11	702	549	558	サイ	サイ, セイ	す(む), す(ます)	す･む, -ず･み, -ずみ, す･まない, す･ます, -す･ます, すく･う, な･す, わたし, わた･る	finish, settle	settle (debt, etc.), relieve (burden), finish, come to an end, excusable, need not	2023-12-31T11:42:30.087762
認	3	6	198	14	930	738	751	ニン	ニン	みと(める)	みと･める, したた･める	recognize, approve of	acknowledge, witness, discern, recognize, appreciate, believe	2023-12-31T11:42:30.087762
論	3	6	227	15	1010	293	293	ロン	ロン		あげつら･う	thesis, discussion, argument	argument, discourse	2024-01-05T17:41:31.945411
疑	3	6	283	14	363	1516	1617	ギ	ギ	うたが(う)	うたが･う	doubt, suspect	doubt, distrust, be suspicious, question	2024-01-05T17:41:31.945411
供	3	6	313	8	558	197	197	キョウ, ク	キョウ, ク, クウ, グ	そな(える), とも 	そな･える, とも, -ども	attendant, offer	submit, offer, present, serve (meal), accompany	2024-01-05T17:41:31.945411
割	3	6	318	12	477	519	528	カツ	カツ	わ(る), わ(れる), わり, さ(く)	わ･る, わり, わ･り, わ･れる, さ･く	divide, split, proportion	proportion, comparatively, divide, cut, separate, split	2024-01-10T17:21:20.653581
難	3	6	330	18	471	557	566	ナン	ナン	かた(い), むずか(しい)	かた･い, -がた･い, むずか･しい, むづか･しい, むつか･しい, -にく･い	difficult	difficult, impossible, trouble, accident, defect	2024-01-10T17:21:20.653581
優	3	6	334	17	832	1033	1074	ユウ	ユウ, ウ	すぐ(れる), やさ(しい)	やさ･しい, すぐ･れる, まさ･る	kind, gentle, excel	tenderness, excel, surpass, actor, superiority, gentleness	2024-01-10T17:21:20.653581
収	3	6	337	4	413	757	770	シュウ	シュウ	おさ(める), おさ(まる)	おさ･める, おさ･まる	obtain, supply	income, obtain, reap, pay, supply, store	2024-01-15T15:25:12.617757
宅	3	6	357	6	871	178	178	タク	タク			home, residence	home, house, residence, our house, my husband	2024-01-15T15:25:12.617757
警	3	6	366	19	625	706	719	ケイ	ケイ		いまし･める	admonish, warn	admonish, commandment	2024-01-15T15:25:12.617757
訪	3	6	372	11	417	1181	1240	ホウ	ホウ	たず(ねる), おとず(れる)	おとず･れる, たず･ねる, と･う	visit	call on, visit, look up, offer sympathy	2024-01-29T21:15:36.217042
退	3	6	424	9	823	846	865	タイ	タイ	しりぞ(く), しりぞ(ける)	しりぞ･く, しりぞ･ける, ひ･く, の･く, の･ける, ど･く	retreat, repel	retreat, withdraw, retire, resign, repel, expel, reject	2024-01-29T21:15:36.217042
若	3	6	458	8	763	544	553	ジャク, ニャク	ジャク, ニャク, ニャ	わか(い), も(しくわ)	わか･い, わか-, も･しくわ, も･し, も･しくは, ごと･し	young	young, if, perhaps, possibly, low number, immature	2024-01-29T21:15:36.217042
段	3	6	479	9	819	362	363	ダン	ダン, タン			step, stairs, rank	grade, steps, stairs	2024-01-30T21:49:07.209593
呼	3	6	498	8	642	1254	1325	コ	コ	よ(ぶ)	よ･ぶ	call, invite	call, call out to, invite	2024-01-30T21:49:07.209593
値	3	6	518	10	289	425	431	チ	チ	ね, あたい	ね, あたい	price, cost, value	price, cost, value	2024-01-30T21:49:07.209593
処	3	6	547	5	774	1137	1189	ショ	ショ		ところ, -こ, お･る	deal with, manage, condemn	dispose, manage, deal with, sentence, condemn, act, behave, place	2024-01-31T20:01:09.242424
否	3	6	561	7	344	1248	1316	ヒ	ヒ	いな	いな, いや	no	negate, no, noes, refuse, decline, deny	2024-01-31T20:01:09.242424
存	3	6	577	6	866	269	269	ソン, ゾン	ソン, ゾン		ながら･える, あ･る, たも･つ, と･う	exist, believe	exist, suppose, be aware of, believe, feel	2024-01-31T20:01:09.242424
座	3	6	588	10	696	786	800	ザ	ザ	すわ(る)	すわ･る	sit, seat	squat, seat, cushion, gathering, sit	2024-02-01T21:25:43.712370
除	3	6	594	10	747	1065	1112	ジョ, ジ	ジョ, ジ	のぞ(く)	のぞ･く, -よ･け	remove, exclude	exclude, division (x/3), remove, abolish, cancel, except	2024-02-01T21:25:43.712370
降	3	6	596	10	424	947	977	コウ	コウ, ゴ	お(りる), お(ろす), ふ(る)	お･りる, お･ろす, ふ･る, ふ･り, くだ･る, くだ･す	descend, fall	descend, precipitate, fall, surrender	2024-02-01T21:25:43.712370
